city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Amsterdam,2022-05-20,1073 GG ,750000,Rustenburgerstraat 309 3,https://mijn.makelaarsland.nl/woning-details/2771013,Frans balkon,"Appartement, Bovenwoning, Dubbel bovenhuis","Balkon aanwezig, frans balkon aanwezig",,1,1904.0,Bestaande bouw,In overleg,,4e woonlaag,2,"Intergas uit 2020, Eigendom",Cv-ketel,Dubbel glas,Ja,106,Ja,Ja,Ja,Ja,80,"Aan rustige weg, In woonwijk",5,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,263,Cv-ketel
Noordwijk,2022-05-20,2201 XH ,489000,Scholekster 25,https://mijn.makelaarsland.nl/woning-details/2771012,Voorzien van elektra,,Dakterras aanwezig,"Ligbad, toilet",1,1991.0,Bestaande bouw,In overleg,6,,,"Nefit Ecomline HR, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk",Volledig geïsoleerd,,,,,,,109,In woonwijk,11,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,4,Beschikbaar,417,Cv-ketel
Utrecht,2022-05-20,3524 LR ,375000,Wageningseberg 82,https://mijn.makelaarsland.nl/woning-details/2771011,Voorzien van elektra,"Appartement, Maisonnette",Balkon aanwezig,"Ligbad, douche",1,1992.0,Bestaande bouw,In overleg,9,3e woonlaag,2,"Remeha uit 2007, Eigendom",Cv-ketel,"Muurisolatie, Dubbel glas",Ja,,Ja,Ja,Ja,Ja,96,"In woonwijk, Vrij uitzicht",16,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,296,Cv-ketel
Oude-Tonge,2022-05-20,3255 XL ,325000,Ruychrockstraat 28,https://mijn.makelaarsland.nl/woning-details/2771009,Elektra,,,Toilet,1,1971.0,Bestaande bouw,In overleg,18,,,"Nefit uit 2015, Eigendom",Cv-ketel,"Dubbel glas, Volledig geïsoleerd",,,,,,,108,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,385,Cv-ketel
Uithoorn,2022-05-20,1421 CE ,450000,Thamerhorn 86,https://mijn.makelaarsland.nl/woning-details/2771008,"TV kabel, Buitenzonwering, Lift, Natuurlijke ventilatie","Appartement, Portiekflat",Balkon aanwezig,"Ligbad, douche, toilet",1,1970.0,Bestaande bouw,In overleg,6,8e woonlaag,8,,Blokverwarming,Dubbel glas,Ja,559,Ja,Ja,Ja,Ja,95,,8,Parkeergarage,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,304,Centrale Voorziening
Haarlem,2022-05-20,2035 XS ,485000,Schroeder van der Kolkstraat 14,https://mijn.makelaarsland.nl/woning-details/2771006,"Buitenzonwering, Natuurlijke ventilatie",,,"Douche, toilet",1,1966.0,Bestaande bouw,In overleg,7,,,"Atag uit 2011, Eigendom",Cv-ketel,"Dakisolatie, Dubbel glas",,,,,,,129,"Aan rustige weg, In woonwijk, Vrij uitzicht",,Openbaar parkeren,"Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",6,Beschikbaar,430,Cv-ketel
Rozenburg,2022-05-20,3181 PB ,299000,Appelgaarde 25,https://mijn.makelaarsland.nl/woning-details/2771004,Voorzien van elektra,,,"Ligbad, douche, toilet",1,1974.0,Bestaande bouw,In overleg,7,,,"Remeha Tzerra uit 2014, Eigendom",Cv-ketel,Dubbel glas,,,,,,,141,In woonwijk,,Openbaar parkeren,Zadeldak bedekt met pannen,7,Beschikbaar,486,Cv-ketel
Leeuwarden,2022-05-20,8911 GW ,375000,Minnemastraat 4,https://mijn.makelaarsland.nl/woning-details/2771003,Voorzien van elektra,,,Toilet,1,1805.0,Bestaande bouw,In overleg,4,,,"Intergas Kombi Kompact HRE 28/24A uit 2015, Eigendom",Cv-ketel,"Muurisolatie, Vloerisolatie, Dubbel glas, HR-glas",,,,,,,128,"In centrum, Beschutte ligging",,,,5,Beschikbaar,490,Cv-ketel
Leeuwarden,2022-05-20,8911 GW ,365000,Minnemastraat 2,https://mijn.makelaarsland.nl/woning-details/2771002,Voorzien van elektra,,Frans balkon aanwezig,"Ligbad, toilet",1,1805.0,Bestaande bouw,In overleg,4,,,"Intergas Kombi Kompact HRE 28/24A uit 2015, Eigendom",Cv-ketel,"Vloerisolatie, Dubbel glas",,,,,,,133,"In centrum, Beschutte ligging",,Parkeervergunningen,,5,Beschikbaar,528,Cv-ketel
Capelle aan den IJssel,2022-05-20,2903 AC ,475000,Duikerlaan 346 L,https://mijn.makelaarsland.nl/woning-details/2771001,Voorzien van elektra,"Appartement, Galerijflat",Balkon aanwezig,Douche,1,2021.0,Bestaande bouw,In overleg,8,5e woonlaag,1,,"Warmtepomp, Warmte terugwininstallatie","Volledig geïsoleerd, Driedubbel glas",Nee,,Nee,Nee,Nee,Nee,100,"In centrum, In woonwijk, Vrij uitzicht",23,Parkeergarage,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,350,Elektrische boiler eigendom
