city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Tilburg,2022-05-25,5035 MH ,550000,Rijperkerkpark 85,https://mijn.makelaarsland.nl/woning-details/2775751,Voorzien van elektra,,,"Ligbad, douche",2,2020.0,Bestaande bouw,In overleg,15,,,,"Vloerverwarming geheel, Warmtepomp, Aardwarmte, Gashaard","Muurisolatie, Volledig geïsoleerd, Driedubbel glas",,,,,,,162,In woonwijk,2,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,7,Beschikbaar,582,"Zonneboiler, Aardwarmte"
Klijndijk,2022-05-25,7871 PG ,389000,Melkweg 36,https://mijn.makelaarsland.nl/woning-details/2775750,"Voorzien van elektra, Voorzien van water",,,Douche,1,1956.0,Bestaande bouw,In overleg,,,,,Gaskachels,Geen isolatie,,,,,,,108,"Aan drukke weg, In bosrijke omgeving, Landelijk gelegen",,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,330,
Emmen,2022-05-25,7813 BS ,385000,Kloostertuin 7,https://mijn.makelaarsland.nl/woning-details/2775749,"Elektra, Water",,,"Ligbad, douche, toilet",1,2007.0,Bestaande bouw,In overleg,16,,,"Intergas uit 2007, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,134,"In woonwijk, Vrij uitzicht",,"Openbaar parkeren, Op eigen terrein",Schilddak bedekt met pannen,5,Beschikbaar,496,Cv-ketel
Urmond,2022-05-25,6129 AW ,235000,Grachtstraat 15,https://mijn.makelaarsland.nl/woning-details/2775748,"Rookkanaal, Dakraam",,,Douche,1,1920.0,Bestaande bouw,In overleg,23,,,"ATAG HR uit 2017, Huur",Cv-ketel,Gedeeltelijk dubbel glas,,,,,,,106,Aan rustige weg,,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,6,Beschikbaar,360,Cv-ketel
Amersfoort,2022-05-25,3825 WX ,489000,Egeische Zee 10,https://mijn.makelaarsland.nl/woning-details/2775747,Voorzien van elektra,,,"Ligbad, douche, toilet",1,2012.0,Bestaande bouw,In overleg,6,,,"HR combi uit 2012, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas, Volledig geïsoleerd",,,,,,,118,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Zadeldak bedekt met pannen,4,Beschikbaar,345,Cv-ketel
Almere,2022-05-25,1338 ZD ,350000,Lotusbloemweg 90,https://mijn.makelaarsland.nl/woning-details/2775746,Voorzien van elektra,,Frans balkon aanwezig,Toilet,1,1990.0,Bestaande bouw,In overleg,6,,,"Vailliant uit 2012, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,126,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,437,Cv-ketel
Groningen,2022-05-25,9718 TA ,475000,Hoendiep 27 a,https://mijn.makelaarsland.nl/woning-details/2775745,,"Appartement, Bovenwoning",,2 douches,1,1933.0,Bestaande bouw,In overleg,3,1e woonlaag,3,,Cv-ketel,,Nee,,Nee,Nee,Nee,Nee,96,,8,,,6,Beschikbaar,300,Cv-ketel
Deurne,2022-05-25,5753 PA ,599000,Beukelsdijk 9,https://mijn.makelaarsland.nl/woning-details/2775744,Elektra,,,Douche,1,1976.0,Bestaande bouw,In overleg,53,,,"Nefit uit 2013, Eigendom",Cv-ketel,Geen isolatie,,,,,,,166,"Aan rustige weg, Vrij uitzicht",21,Op eigen terrein,"Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",5,Beschikbaar,617,Cv-ketel
Ede,2022-05-25,6717 ZK ,450000,Pomphuislaan 31,https://mijn.makelaarsland.nl/woning-details/2775865,"Mechanische ventilatie, Dakraam",,,Toilet,1,2014.0,Bestaande bouw,In overleg,7,,,"Intergas uit 2014, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas, Volledig geïsoleerd",,,,,,,129,"In woonwijk, In bosrijke omgeving",,Parkeervergunningen,Zadeldak bedekt met pannen,6,Beschikbaar,447,Cv-ketel
Krommenie,2022-05-25,1562 BJ ,750000,Mercuryplein 7,https://mijn.makelaarsland.nl/woning-details/2775864,Elektra,,,"Ligbad, toilet",1,1971.0,Bestaande bouw,In overleg,28,,,"Nefit Topline, Eigendom",Cv-ketel,Geen isolatie,,,,,,,159,"Aan rustige weg, In woonwijk",7,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,567,Cv-ketel
