city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Rotterdam,24-12-22,3071 AG ,900000,Levie Vorstkade 23,https://mijn.makelaarsland.nl/woning-details/2950281?skipBrokerCheck=True,"Elektra, Water, Elektrische deur",,Dakterras aanwezig,"Ligbad, 3 douches, toilet",3,1998,Bestaande bouw,In overleg,,,,,"Stadsverwarming, Vloerverwarming gedeeltelijk","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,189,"Aan water, In centrum, Aan vaarwater",32,Op eigen terrein,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,724,Stadsverwarming
Nijmegen,24-12-22,6523 RM ,425000,Molenveldlaan 74,https://mijn.makelaarsland.nl/woning-details/2950017?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Frans balkon, Dakraam","Appartement, Bovenwoning",Frans balkon aanwezig,Douche,1,1905,Bestaande bouw,In overleg,,2e woonlaag,2,,Stadsverwarming,"Dakisolatie, Muurisolatie, Grotendeels dubbelglas",Ja,145,Ja,Ja,Ja,Ja,109,"In woonwijk, Beschutte ligging",,"Openbaar parkeren, Parkeergarage",Samengesteld dak bedekt met metaal,3,Beschikbaar,372,Stadsverwarming
Voorburg,24-12-22,2273 EV ,285000,Monseigneur van Steelaan 182,https://mijn.makelaarsland.nl/woning-details/2950013?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Portiekflat",Balkon aanwezig,Douche,1,1956,Bestaande bouw,In overleg,11,4e woonlaag,1,,Blokverwarming,HR-glas,Ja,135,Ja,Ja,Ja,Ja,74,"Aan drukke weg, In woonwijk, Vrij uitzicht",5,Openbaar parkeren,Zadeldak bedekt met bitumineuze dakbedekking,3,Beschikbaar,247,Geiser eigendom
Rotterdam,24-12-22,3055 ZP ,392500,Frans Halssingel 5 A,https://mijn.makelaarsland.nl/woning-details/2949724?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Buitenzonwering, Schuifpui","Appartement, Maisonnette",Balkon aanwezig,Ligbad,1,1955,Bestaande bouw,In overleg,,2e woonlaag,3,,Cv-ketel,Geen isolatie,Ja,90,Ja,Ja,Ja,Ja,81,"Aan water, Aan rustige weg, In woonwijk",5,Openbaar parkeren,"Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",4,Beschikbaar,297,Cv-ketel
Amsterdam,24-12-22,1064 AM ,310000,Burgemeester Cramergracht 168,https://mijn.makelaarsland.nl/woning-details/2970569?skipBrokerCheck=True,"TV kabel, Lift, Natuurlijke ventilatie","Appartement, Galerijflat",Balkon aanwezig,Douche,1,1958,Bestaande bouw,In overleg,6,6e woonlaag,1,,Blokverwarming,Dubbel glas,Ja,165,Ja,Ja,Ja,Ja,63,"In woonwijk, Vrij uitzicht",3,Parkeervergunningen,Plat dak bedekt met bitumineuze dakbedekking,2,Beschikbaar,205,Elektrische boiler eigendom
Almere,24-12-22,1363 BK ,270000,Luxemburgstraat 29,https://mijn.makelaarsland.nl/woning-details/2970224?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Galerijflat",Frans balkon aanwezig,"Douche, toilet",1,2009,Bestaande bouw,In overleg,3,2e woonlaag,1,,Stadsverwarming,Geen isolatie,Ja,120,Ja,Ja,Ja,Ja,55,In woonwijk,,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,2,Beschikbaar,181,Stadsverwarming
Utrecht,24-12-22,3526 JR ,245000,Livingstonelaan 1062,https://mijn.makelaarsland.nl/woning-details/2968412?skipBrokerCheck=True,"TV kabel, Lift, Natuurlijke ventilatie","Appartement, Portiekflat",Balkon aanwezig,Toilet,1,1969,Bestaande bouw,In overleg,4,4e woonlaag,1,,Stadsverwarming,HR-glas,Ja,129,Ja,Ja,Ja,Ja,55,"In woonwijk, Vrij uitzicht",,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,2,Beschikbaar,176,Elektrische boiler eigendom
Utrecht,24-12-22,3554 GK ,590000,Zwanenvechtlaan 37,https://mijn.makelaarsland.nl/woning-details/2968411?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Airconditioning",,Dakterras aanwezig,,1,2001,Bestaande bouw,In overleg,,,,,Stadsverwarming,Dubbel glas,,,,,,,165,In woonwijk,47,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,576,Centrale Voorziening
Rotterdam,24-12-22,3077 RA ,275000,Keverborgstraat 17,https://mijn.makelaarsland.nl/woning-details/2968348?skipBrokerCheck=True,Voorzien van elektra,,Dakterras aanwezig,"Douche, toilet",1,1984,Bestaande bouw,In overleg,7,,,,Cv-ketel,"Volledig geïsoleerd, Grotendeels dubbelglas, HR-glas",,,,,,,103,In woonwijk,11,Openbaar parkeren,"Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",4,Beschikbaar,341,Cv-ketel
Arnhem,24-12-22,6812 BC ,425000,Alexanderstraat 41,https://mijn.makelaarsland.nl/woning-details/2968341?skipBrokerCheck=True,"TV kabel, Rookkanaal, Frans balkon","Appartement, Bovenwoning","Dakterras aanwezig, balkon aanwezig, frans balkon aanwezig",Toilet,1,1903,Bestaande bouw,In overleg,1,1e woonlaag,2,,Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas",Ja,50,Ja,Ja,Ja,Ja,109,"Aan rustige weg, In woonwijk",61,Openbaar parkeren,"Plat dak bedekt met pannen, bitumineuze dakbedekking",5,Beschikbaar,366,Cv-ketel
Meerstad,24-12-22,9613 CK ,675000,De Overtoom 15,https://mijn.makelaarsland.nl/woning-details/2968224?skipBrokerCheck=True,Elektra,,,Toilet,1,2019,Bestaande bouw,In overleg,23,,,,"Vloerverwarming geheel, Warmtepomp",Volledig geïsoleerd,,,,,,,161,"Aan rustige weg, In woonwijk",2,Op eigen terrein,Zadeldak bedekt met pannen,6,Beschikbaar,709,Elektrische boiler eigendom
Hedel,24-12-22,5321 SL ,349000,Prinses Margrietstraat 33,https://mijn.makelaarsland.nl/woning-details/2968076?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Portiekflat",Dakterras aanwezig,Ligbad,1,2009,Bestaande bouw,In overleg,21,3e woonlaag,1,,"Cv-ketel, Vloerverwarming geheel",Geen isolatie,Ja,125,Ja,Ja,Ja,Ja,70,"Aan rustige weg, In woonwijk",39,"Openbaar parkeren, Op eigen terrein",Plat dak bedekt met kunststof,3,Beschikbaar,239,Cv-ketel
Rotterdam,24-12-22,3014 NR ,469000,Zijdewindestraat 145,https://mijn.makelaarsland.nl/woning-details/2967756?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Bovenwoning",Balkon aanwezig,Douche,1,2003,Bestaande bouw,In overleg,8,3e woonlaag,2,,"Cv-ketel, Warmte terugwininstallatie",Volledig geïsoleerd,Ja,100,Ja,Ja,Ja,Ja,117,"Aan rustige weg, In woonwijk, Vrij uitzicht",9,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,376,Cv-ketel
Amsterdam,24-12-22,1064 NS ,572500,Mezquitalaan 74 +PP,https://mijn.makelaarsland.nl/woning-details/2967069?skipBrokerCheck=True,"TV kabel, Lift, Natuurlijke ventilatie","Appartement, Bovenwoning",,"Ligbad, douche",1,1999,Bestaande bouw,In overleg,20,8e woonlaag,1,,Cv-ketel,Dubbel glas,Ja,222,Ja,Ja,Ja,Ja,108,"Aan water, Aan park, In woonwijk, Aan vaarwater",,"Betaald parkeren, Parkeergarage",Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,334,Cv-ketel
Soesterberg,24-12-22,3769 EN ,399000,van Maarenplein 11,https://mijn.makelaarsland.nl/woning-details/2967008?skipBrokerCheck=True,Voorzien van elektra,,,"Ligbad, douche, toilet",1,1970,Bestaande bouw,In overleg,17,,,,"Cv-ketel, Gashaard","Dakisolatie, Muurisolatie, Grotendeels dubbelglas",,,,,,,134,"Aan rustige weg, In woonwijk",19,Openbaar parkeren,Zadeldak bedekt met pannen,6,Beschikbaar,461,Cv-ketel
Brielle,24-12-22,3231 CD ,265000,Lumeyweg 9,https://mijn.makelaarsland.nl/woning-details/2967003?skipBrokerCheck=True,Voorzien van elektra,,,"Ligbad, douche, toilet",1,1958,Bestaande bouw,In overleg,6,,,,Cv-ketel,Dakisolatie,,,,,,,70,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,236,Cv-ketel
Almere,24-12-22,1325 SZ ,360000,Minnellistraat 9,https://mijn.makelaarsland.nl/woning-details/2965248?skipBrokerCheck=True,Voorzien van elektra,,,Toilet,1,1996,Bestaande bouw,In overleg,7,,,,Stadsverwarming,Geen isolatie,,,,,,,89,"Aan rustige weg, In woonwijk",19,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,297,Stadsverwarming
Rotterdam,24-12-22,3072 ZA ,330000,Atjehstraat 19,https://mijn.makelaarsland.nl/woning-details/2965038?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Benedenwoning",,Douche,1,1990,Bestaande bouw,In overleg,5,1e woonlaag,1,,Elektrische verwarming,"Dubbel glas, Volledig geïsoleerd",Ja,138,Ja,Ja,Ja,Ja,69,"Aan rustige weg, In woonwijk, Vrij uitzicht",,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,216,Elektrische boiler eigendom
Utrecht,24-12-22,3524 DM ,350000,Apennijnen 81,https://mijn.makelaarsland.nl/woning-details/2965027?skipBrokerCheck=True,"TV kabel, Natuurlijke ventilatie","Appartement, Portiekflat",Balkon aanwezig,"Jacuzzi, toilet",1,1979,Bestaande bouw,In overleg,8,2e woonlaag,1,,Cv-ketel,Muurisolatie,Ja,210,Ja,Ja,Ja,Ja,97,"Aan rustige weg, Open ligging",2,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,305,Cv-ketel
